regID;year;population
38;1959;1976453
38;1970;2313410
38;1979;2559522
38;1989;2830641
38;1990;2794858
38;1991;2797005
38;1992;2793856
38;1993;2784043
38;1994;2764225
38;1995;2748073
38;1996;2727374
38;1997;2708178
38;1998;2686284
38;1999;2667886
38;2000;2644022
38;2001;2623183
38;2002;2599675
38;2003;2577702
38;2004;2552298
38;2005;2524080
38;2006;2492143
38;2007;2467383
38;2008;2455410
38;2009;2448287
38;2010;2440391
38;2011;2427954
38;2012;2424355
38;2013;2422026
38;2014;2418348
38;2015;2414913
38;2016;2412800
38;2017;2408901
38;2018;2404195
38;2019;2397763
39;1926;998000
39;1959;610885
39;1970;731936
39;1979;806864
39;1989;871283
39;1990;881211
39;1991;890627
39;1992;898578
39;1993;911348
39;1994;919306
39;1995;933735
39;1996;940242
39;1997;944252
39;1998;952698
39;1999;961257
39;2000;958782
39;2001;957533
39;2002;955449
39;2003;954093
39;2004;947887
39;2005;942098
39;2006;936574
39;2007;934330
39;2008;935297
39;2009;936613
39;2010;938633
39;2011;941823
39;2012;946796
39;2013;954773
39;2014;963128
39;2015;968944
39;2016;976439
39;2017;986261
39;2018;994599
39;2019;1002187
40;1926;1324000
40;1959;935852
40;1970;994876
40;1979;1006973
40;1989;1066833
40;1990;1068443
40;1991;1073948
40;1992;1074673
40;1993;1079108
40;1994;1080681
40;1995;1087278
40;1996;1088982
40;1997;1086767
40;1998;1084479
40;1999;1079831
40;2000;1070426
40;2001;1060285
40;2002;1049614
40;2003;1038614
40;2004;1031655
40;2005;1027581
40;2006;1023341
40;2007;1020141
40;2008;1017726
40;2009;1015597
40;2010;1014996
40;2011;1009191
40;2012;1008229
40;2013;1005585
40;2014;1004544
40;2015;1010486
40;2016;1009772
40;2017;1014570
40;2018;1012156
40;2019;1009380
41;1926;19000
41;1959;220753
41;1970;287612
41;1979;378491
41;1989;466096
41;1990;476911
41;1991;478541
41;1992;475987
41;1993;458899
41;1994;439750
41;1995;421582
41;1996;406393
41;1997;397007
41;1998;388255
41;1999;380481
41;2000;372308
41;2001;366400
41;2002;361646
41;2003;357917
41;2004;350510
41;2005;343908
41;2006;336594
41;2007;330810
41;2008;327949
41;2009;325179
41;2010;323165
41;2011;321659
41;2012;320156
41;2013;320549
41;2014;319864
41;2015;317269
41;2016;316116
41;2017;314729
41;2018;315557
41;2019;314723
42;1926;798000
42;1959;2785872
42;1970;2918353
42;1979;2958066
42;1989;3176335
42;1990;3099236
42;1991;3100688
42;1992;3098685
42;1993;3093199
42;1994;3072515
42;1995;3065197
42;1996;3047514
42;1997;3024528
42;1998;3002297
42;1999;2985392
42;2000;2963439
42;2001;2942264
42;2002;2917769
42;2003;2893448
42;2004;2862105
42;2005;2832963
42;2006;2805941
42;2007;2785999
42;2008;2780231
42;2009;2776358
42;2010;2772964
42;2011;2761255
42;2012;2750829
42;2013;2742450
42;2014;2734075
42;2015;2724990
42;2016;2717627
42;2017;2708844
42;2018;2694877
42;2019;2674256
43;1926;2209000
43;1959;1913600
43;1970;1727348
43;1979;1661546
43;1989;1692655
43;1990;1651726
43;1991;1648962
43;1992;1645091
43;1993;1641886
