reg_ID;reg_alias_the_constitutional_name;reg_alias_human_name;reg_alias_okato;reg_alias_iso_code;reg_alias_tableau;reg_alias_datawrapper;reg_alias_datwrapper_square;reg_tile_column;reg_tile_row;reg_alias_short_2letters;reg_alias_short_3letters;reg_fo;reg_mask;reg_antimask;reg_alias_rosbris_ID;reg_alias_duckconsulting;reg_alias_fedstat;reg_alias_fias_name;reg_alias_fias_id;reg_alias_rossstat_order;reg_level;reg_type;reg_status;reg_alias_citytable
15;Республика Северная Осетия — Алания;Республика Северная Осетия;90000000000;RU-SE;Respublika Severnaya Osetiya-Alaniya;Республика Северная Осетия — Алания;Северная Осетия — Алания;4;10;СО;ОСЕ;СКФО;Осет;-;1190;Северная Осетия;        90000000000 Республика Северная Осетия-Алания;Северная Осетия - Алания Республика;15;48;2;Регион;Республика;Северная Осетия - Алания
16;Республика Татарстан (Татарстан);Республика Татарстан;92000000000;RU-TA;Tatarstan;Республика Татарстан;Татарстан;7;4;ТТ;ТАТ;ПФО;Татар;-;1192;Татарстан;        92000000000 Республика Татарстан (Татарстан);Татарстан Республика;16;55;2;Регион;Республика;Татарстан
17;Республика Тыва;Республика Тыва;93000000000;RU-TY;Tuva;Республика Тыва;Тыва;12;5;ТА;ТЫВ;СФО;т*ва;-;1193;Республика Тыва;        93000000000 Республика Тыва;Тыва Республика;17;76;2;Регион;Республика;Тыва
19;Республика Хакасия;Республика Хакасия;95000000000;RU-KK;Khakass;Республика Хакасия;Хакасия;12;4;ХК;ХАК;СФО;Хака;-;1195;Хакасия;        95000000000 Республика Хакасия;Хакасия Республика;19;77;2;Регион;Республика;Хакасия
0;Российская Федерация;Российская Федерация;-;-;-;-;-;0;0;РФ;РФ;-;-;-;643;Российская Федерация;-;-;-;1;0;Страна;-;-
61;Ростовская область;Ростовская область;60000000000;RU-ROS;Rostov;Ростовская область;Ростовская область;4;8;РВ;РСТ;ЮФО;Росто;-;1160;Ростовская область;        60000000000 Ростовская область;Ростовская Область;61;41;2;Регион;Область;Ростовская
62;Рязанская область;Рязанская область;61000000000;RU-RYA;Ryazan;Рязанская область;Рязанская область;4;5;РЗ;РЯЗ;ЦФО;Ряз;-;1161;Рязанская область;        61000000000 Рязанская область;Рязанская Область;62;14;2;Регион;Область;Рязанская
63;Самарская область;Самарская область;36000000000;RU-SAM;Samara;Самарская область;Самарская область;7;5;СА;САМ;ПФО;Самар;-;1136;Самарская область;        36000000000 Самарская область;Самарская Область;63;63;2;Регион;Область;Самарская
64;Саратовская область;Саратовская область;63000000000;RU-SAR;Saratov;Саратовская область;Саратовская область;6;6;СР;САР;ПФО;Сарат;-;1163;Саратовская область;        63000000000 Саратовская область;Саратовская Область;64;64;2;Регион;Область;Саратовская
65;Сахалинская область;Сахалинская область;64000000000;RU-SAK;Sakhalin;Сахалинская область;Сахалинская область;16;3;СХ;САХ;ДФО;Сахал;-;1164;Сахалинская область;        64000000000 Сахалинская область;Сахалинская Область;65;93;2;Регион;Область;Сахалинская
66;Свердловская область;Свердловская область;65000000000;RU-SVE;Sverdlovsk;Свердловская область;Свердловская область;9;4;СВ;СВР;УФО;Сверд;-;1165;Свердловская область;        65000000000 Свердловская область;Свердловская Область;66;68;2;Регион;Область;Свердловская
102;Северо-Западный федеральный округ;Северо-Западный федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;1;Федеральный округ;-;-
104;Северо-Кавказский федеральный округ;Северо-Кавказский федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;1;Федеральный округ;-;-
107;Сибирский федеральный округ;Сибирский федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;1;Федеральный округ;-;-
67;Смоленская область;Смоленская область;66000000000;RU-SMO;Smolensk;Смоленская область;Смоленская область;1;4;СМ;СМЛ;ЦФО;Смоле;-;1166;Смоленская область;        66000000000 Смоленская область;Смоленская Область;67;15;2;Регион;Область;Смоленская
26;Ставропольский край;Ставропольский край;7000000000;RU-STA;Stavropol';Ставропольский край;Ставропольский край;4;9;СТ;СТВ;СКФО;Ставро;-;1107;Ставропольский край;        07000000000 Ставропольский край;Ставропольский Край;26;50;2;Регион;Край;Ставропольский
68;Тамбовская область;Тамбовская область;68000000000;RU-TAM;Tambov;Тамбовская область;Тамбовская область;4;6;ТБ;ТМБ;ЦФО;Тамбо;-;1168;Тамбовская область;        68000000000 Тамбовская область;Тамбовская Область;68;16;2;Регион;Область;Тамбовская
69;Тверская область;Тверская область;28000000000;RU-TVE;Tver;Тверская область;Тверская область;2;3;ТВ;ТВР;ЦФО;Твер;-;1128;Тверская область;        28000000000 Тверская область;Тверская Область;69;17;2;Регион;Область;Тверская
70;Томская область;Томская область;69000000000;RU-TOM;Tomsk;Томская область;Томская область;11;3;ТМ;ТОМ;СФО;Томск;-;1169;Томская область;        69000000000 Томская область;Томская Область;70;84;2;Регион;Область;Томская
71;Тульская область;Тульская область;70000000000;RU-TUL;Tula;Тульская область;Тульская область;3;5;ТЛ;ТУЛ;ЦФО;Туль;-;1170;Тульская область;        70000000000 Тульская область;Тульская Область;71;18;2;Регион;Область;Тульская
72;Тюменская область;Тюменская область;71000000000;RU-TYU;Tyumen;Тюменская область;Тюменская область;10;3;ТЮ;ТЮМ;УФО;Тюмен;-;1171;Тюменская область;            71001000 Тюменская область (без АО);Тюменская Область;72;72;2;Регион;Область;Тюменская
202;Тюменская область вместе с ХМАО и ЯНАО;Тюменская область вместе с ХМАО и ЯНАО;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;101;Совокупность регионов;-;-
18;Удмуртская Республика;Удмуртская Республика;94000000000;RU-UD;Udmurt;Удмуртская республика;Удмуртия;8;4;УД;УДМ;ПФО;Удм;-;1194;Удмуртия;        94000000000 Удмуртская Республика;Удмуртская Республика;18;56;2;Регион;Республика;Удмуртская
